idx	sing	plur	freq	inVocabs
_	deserves	deserve	_	1
_	designates	designate	_	0
_	designs	design	_	1
_	desires	desire	_	1
_	desists	desist	_	0
_	despairs	despair	_	0
_	despises	despise	_	0
_	destabilizes	destabilize	_	0
_	destroys	destroy	_	1
_	detaches	detach	_	0
_	details	detail	_	1
_	detains	detain	_	0
_	detects	detect	_	0
_	deteriorates	deteriorate	_	0
_	determines	determine	_	1
_	deters	deter	_	0
_	detests	detest	_	0
_	detonates	detonate	_	0
_	detracts	detract	_	0
_	devalues	devalue	_	0
_	devastates	devastate	_	0
_	develops	develop	_	1
_	deviates	deviate	_	0
_	devises	devise	_	0
_	devolves	devolve	_	0
_	devotes	devote	_	0
_	devours	devour	_	0
_	diagnoses	diagnose	_	0
_	dials	dial	_	0
_	dices	dice	_	0
_	dictates	dictate	_	0
_	dies	die	_	1
_	differentiates	differentiate	_	0
_	differs	differ	_	1
_	diffuses	diffuse	_	0
_	digests	digest	_	0
_	dignifies	dignify	_	0
_	digs	dig	_	0
_	dilapidates	dilapidate	_	0
_	dilates	dilate	_	0
_	dilutes	dilute	_	0
_	diminishes	diminish	_	0
_	dims	dim	_	0
_	dines	dine	_	0
_	dips	dip	_	0
_	directs	direct	_	1
_	disables	disable	_	0
_	disadvantages	disadvantage	_	0
_	disagrees	disagree	_	0
_	disallows	disallow	_	0
_	disappears	disappear	_	1
_	disappoints	disappoint	_	0
_	disapproves	disapprove	_	0
_	disarms	disarm	_	0
_	disassembles	disassemble	_	0
_	disassociates	disassociate	_	0
_	disbands	disband	_	0
_	discards	discard	_	0
_	discerns	discern	_	0
_	discharges	discharge	_	0
_	disciplines	discipline	_	1
_	discloses	disclose	_	0
_	discomfits	discomfit	_	0
_	disconcerts	disconcert	_	0
_	disconnects	disconnect	_	0
_	discontinues	discontinue	_	0
_	discounts	discount	_	0
_	discourages	discourage	_	0
_	discovers	discover	_	1
_	discredits	discredit	_	0
_	discriminates	discriminate	_	0
_	discusses	discuss	_	1
_	disdains	disdain	_	0
_	disembarks	disembark	_	0
_	disengages	disengage	_	0
_	disfigures	disfigure	_	0
